"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Air passenger traffic at Canadian airports, annual","23100253","401-0044","https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2310025301",,"CURRENT - a cube available to the public and that is current","Annual","2008-01-01","2024-01-01","2",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Air passenger traffic",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"1","Newfoundland and Labrador","[10]","101000","100000","",,
"1","Prince Edward Island","[11]","102000","100000","",,
"1","Nova Scotia","[12]","103000","100000","",,
"1","New Brunswick","[13]","104000","100000","",,
"1","Quebec","[24]","105000","100000","",,
"1","Ontario","[35]","106000","100000","",,
"1","Manitoba","[46]","107000","100000","",,
"1","Saskatchewan","[47]","108000","100000","",,
"1","Alberta","[48]","109000","100000","",,
"1","British Columbia","[59]","110000","100000","",,
"1","Yukon","[60]","111000","100000","",,
"1","Northwest Territories","[61]","112000","100000","",,
"1","Nunavut","[62]","113000","100000","",,
"1","Williams Harbour, Newfoundland and Labrador","","5349","101000","",,
"1","Natuashish, Newfoundland and Labrador","","23678","101000","",,
"1","Hopedale, Newfoundland and Labrador","","4962","101000","",,
"1","St Anthony, Newfoundland and Labrador","","4990","101000","",,
"1","Charlottetown, Newfoundland and Labrador","","5218","101000","",,
"1","Churchill Falls, Newfoundland and Labrador","","57","101000","",,
"1","Deer Lake, Newfoundland and Labrador","","72","101000","",,
"1","St John's International, Newfoundland and Labrador","","117","101000","",,
"1","Stephenville, Newfoundland and Labrador","","118","101000","",,
"1","Wabush, Newfoundland and Labrador","","147","101000","",,
"1","Mistastin Lake, Newfoundland and Labrador","","24633","101000","",,
"1","Harp Lake, Newfoundland and Labrador","","24639","101000","",,
"1","Nain, Newfoundland and Labrador","","5380","101000","",,
"1","Black Tickle, Newfoundland and Labrador","","5157","101000","",,
"1","Cartwright, Newfoundland and Labrador","","5160","101000","",,
"1","Davis Inlet, Newfoundland and Labrador","","5165","101000","",,
"1","Fogo, Newfoundland and Labrador","","5170","101000","",,
"1","St Lewis (Fox Harbour), Newfoundland and Labrador","","5171","101000","",,
"1","Makkovik, Newfoundland and Labrador","","5184","101000","",,
"1","Mary's Harbour, Newfoundland and Labrador","","5186","101000","",,
"1","Port Hope Simpson, Newfoundland and Labrador","","5198","101000","",,
"1","Postville, Newfoundland and Labrador","","5201","101000","",,
"1","Rigolet, Newfoundland and Labrador","","5204","101000","",,
"1","Goose Bay, Newfoundland and Labrador","","24","101000","",,
